CMI,CMI1739,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.79159,98.95812,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1740,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.79718,98.95173,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1741,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.7955,98.96418,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1742,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.79683,98.97327,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1760,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.76334,98.94676,3,Active, Active ,,,, Active 
CMI,CMI1762,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.81166,98.98897,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1763,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.8081,98.98327,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1764,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.80173,98.97536,1,, Active ,,,,
CMI,CMI1765,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.79996,98.9599,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1766,เชียงใหม่,เมืองเชียงใหม่,ศรีภูมิ,18.79675,98.98102,3,,, Active , Active , Active ,
CMI,CMI1768,เชียงใหม่,เมืองเชียงใหม่,ช้างคลาน,18.78282,98.996,5,Active,, Active , Active , Active , Active 
CMI,CMI1769,เชียงใหม่,เมืองเชียงใหม่,ศรีภูมิ,18.79355,98.9832,5,Active,, Active , Active , Active , Active 
CMI,CMI1772,เชียงใหม่,ฝาง,เวียง,19.92445,99.22082,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1773,เชียงใหม่,เมืองเชียงใหม่,หนองหอย,18.75902,99.0175,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1775,เชียงใหม่,จอมทอง,บ้านหลวง,18.41877,98.67248,3,,, Active , Active , Active ,
CMI,CMI1776,เชียงใหม่,หางดง,หางดง,18.6917,98.92152,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1803,เชียงใหม่,ฮอด,บ่อสลี,18.14919,98.24804,3,Active, Active ,,,, Active 
CMI,CMI1804,เชียงใหม่,สารภี,หนองแฝก,18.68775,99.02712,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1805,เชียงใหม่,สันกำแพง,แม่ปูคา,18.77233,99.11399,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1806,เชียงใหม่,ดอยสะเก็ด,แม่โป่ง,18.82039,99.16785,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1810,เชียงใหม่,สันกำแพง,แช่ช้าง,18.72618,99.1214,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1811,เชียงใหม่,สารภี,ชมภู,18.7009,99.06885,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1815,เชียงใหม่,พร้าว,แม่ปั๋ง,19.24634,99.18571,3,Active, Active ,,,, Active 
CMI,CMI1819,เชียงใหม่,สันป่าตอง,ยุหว่า,18.60028,98.87763,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1888,เชียงใหม่,ดอยสะเก็ด,สันปูเลย,18.82688,99.07053,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1903,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.81754,98.9574,5,Active,, Active , Active , Active , Active 
CMI,CMI1904,เชียงใหม่,สารภี,ไชยสถาน,18.7506,99.03582,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1912,เชียงใหม่,แม่แตง,อินทขิล,19.25063,98.95127,3,Active, Active ,,,, Active 
CMI,CMI1913,เชียงใหม่,เชียงดาว,ปิงโค้ง,19.48602,99.02701,2,Active,,,,, Active 
CMI,CMI1914,เชียงใหม่,เชียงดาว,ปิงโค้ง,19.53011,99.0561,3,Active, Active ,,,, Active 
CMI,CMI1915,เชียงใหม่,ไชยปราการ,ศรีดงเย็น,19.62819,99.145,3,Active, Active ,,,, Active 
CMI,CMI1917,เชียงใหม่,สารภี,ดอนแก้ว,18.6991,98.99871,3,,, Active , Active , Active ,
CMI,CMI1923,เชียงใหม่,สันกำแพง,ต้นเปา,18.74124,99.0762,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1924,เชียงใหม่,ฝาง,แม่คะ,19.84225,99.20874,3,Active, Active ,,,, Active 
CMI,CMI1927,เชียงใหม่,แม่ริม,แม่สา,18.88963,98.96194,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1934,เชียงใหม่,เมืองเชียงใหม่,ช้างม่อย,18.79278,98.99927,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1936,เชียงใหม่,สันทราย,หนองจ๊อม,18.84479,99.02149,3,,, Active , Active , Active ,
CMI,CMI1938,เชียงใหม่,สันกำแพง,ร้องวัวแดง,18.74276,99.22886,5,Active, Active , Active , Active ,, Active 
CMI,CMI1941,เชียงใหม่,เมืองเชียงใหม่,พระสิงห์,18.7866,98.98309,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1942,เชียงใหม่,เมืองเชียงใหม่,สันผีเสื้อ,18.83575,98.99326,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1952,เชียงใหม่,แม่อาย,สันต้นหมื้อ,19.95878,99.28209,5,Active, Active , Active , Active ,, Active 
CMI,CMI1953,เชียงใหม่,สันทราย,หนองหาร,18.91004,99.01862,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1954,เชียงใหม่,แม่ริม,ริมใต้,18.91265,98.9336,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1955,เชียงใหม่,ไชยปราการ,ศรีดงเย็น,19.68763,99.1512,2,,, Active , Active ,,
CMI,CMI1961,เชียงใหม่,แม่ริม,โป่งแยง,18.88665,98.81801,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1968,เชียงใหม่,ฝาง,แม่สูน,19.83952,99.1458,5,Active, Active , Active , Active ,, Active 
CMI,CMI1972,เชียงใหม่,ฝาง,แม่งอน,19.79677,99.12121,5,Active, Active , Active , Active ,, Active 
CMI,CMI1975,เชียงใหม่,สันทราย,สันพระเนตร,18.79938,99.04305,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1977,เชียงใหม่,แม่แตง,สันป่ายาง,19.02718,98.87563,3,Active, Active ,,,, Active 
CMI,CMI1978,เชียงใหม่,ฝาง,สันทราย,19.89404,99.22396,5,Active, Active , Active , Active ,, Active 
CMI,CMI1990,เชียงใหม่,แม่ออน,ห้วยแก้ว,18.85886,99.35667,1,, Active ,,,,
CMI,CMI1991,เชียงใหม่,แม่ริม,ขี้เหล็ก,19.02568,98.92706,5,Active, Active , Active , Active ,, Active 
CMI,CMI1994,เชียงใหม่,แม่ริม,สันโป่ง,18.94278,98.97148,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1995,เชียงใหม่,แม่ออน,ห้วยแก้ว,18.86247,99.2748,5,Active, Active , Active , Active ,, Active 
CMI,CMI1996,เชียงใหม่,สันป่าตอง,มะขุนหวาน,18.56205,98.91027,6,Active, Active , Active , Active , Active , Active 
CMI,CMI1998,เชียงใหม่,สันทราย,แม่แฝก,19.0347,98.96908,5,Active, Active , Active , Active ,, Active 
CMI,CMI2001,เชียงใหม่,แม่ริม,แม่แรม,18.8884,98.85986,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2003,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.80596,98.89903,1,, Active ,,,,
CMI,CMI2006,เชียงใหม่,เมืองเชียงใหม่,สันผีเสื้อ,18.843,99.0053,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2007,เชียงใหม่,สารภี,ท่าวังตาล,18.73923,98.99058,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2008,เชียงใหม่,หางดง,สบแม่ข่า,18.68171,98.9834,3,,, Active , Active , Active ,
CMI,CMI2009,เชียงใหม่,สันทราย,สันป่าเปา,18.84912,99.08229,5,Active,, Active , Active , Active , Active 
CMI,CMI2011,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.7776,98.9508,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2012,เชียงใหม่,เมืองเชียงใหม่,แม่เหียะ,18.74841,98.93932,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2013,เชียงใหม่,เมืองเชียงใหม่,ช้างเผือก,18.80332,98.92077,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2014,เชียงใหม่,เมืองเชียงใหม่,สุเทพ,18.80036,98.9652,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2015,เชียงใหม่,สันทราย,หนองหาร,18.89578,99.01285,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2019,เชียงใหม่,แม่วาง,บ้านกาด,18.6015,98.8263,6,Active, Active , Active , Active , Active , Active 
CMI,CMI2020,เชียงใหม่,ฝาง,แม่งอน,19.89443,99.0455,5,Active, Active , Active , Active ,, Active 
